"id","name","ingredients","time_minutes","calories","difficulty","diet","tags","category","steps"
"91","Yakhni Pulao","basmati rice, lamb, yogurt, onion, fennel seeds, cardamom, cloves, bay leaf, cinnamon, ginger, garlic, ghee, saffron, salt","60","490","hard","non-veg","comfort","north-indian","Cook lamb with onion whole spices and water to make yakhni stock; Remove lamb and strain stock; Soak rice and cook in yakhni until 70 percent done; Layer fried onion and lamb pieces; Drizzle saffron milk; Seal and cook on dum 20 min; Rest 10 min before serving"
"92","Hyderabadi Biryani","basmati rice, chicken, yogurt, onion, mint, coriander, saffron, ghee, rose water, kewra, garam masala, biryani masala, oil, salt","90","560","hard","non-veg","comfort","north-indian","Marinate chicken in yogurt and biryani masala 2 hours; Fry onion until golden and crispy; Parboil rice with whole spices until 70 percent done; Layer raw marinated chicken in heavy pot; Add fried onion mint and coriander; Layer rice on top; Drizzle saffron milk ghee and rose water; Seal with dough and cook on dum 45 min"
"93","Mirchi ka Salan","long green chili, peanuts, sesame seeds, coconut, tamarind, onion, cumin, mustard seeds, curry leaves, turmeric, oil, salt","35","280","medium","veg","comfort","north-indian","Dry roast peanuts sesame and coconut; Grind with tamarind and water; Slit and fry green chilies until skin changes; Temper mustard cumin and curry leaves; Add onion and fry until brown; Add ground paste and cook until oil separates; Add tamarind water and fried chilies; Simmer 15 min; Serve with biryani"
"94","Chettinad Chicken Curry","chicken, onion, tomato, coconut, black pepper, fennel, kalpasi, marathi mokku, dried red chili, curry leaves, ginger, garlic, oil, salt","50","440","hard","non-veg","comfort","south-indian","Dry roast whole spices including kalpasi and marathi mokku; Grind with coconut to paste; Saute onion until golden; Add ginger garlic paste and cook; Add tomato and cook until soft; Add chicken and sear; Add ground masala and curry leaves; Add water and simmer covered 30 min; Reduce until thick"
"95","Pani Puri","semolina, all-purpose flour, mint, coriander, green chili, ginger, tamarind, cumin, black salt, potato, chickpeas, chaat masala, water","40","200","medium","veg","quick,healthy","snacks","Knead semolina dough rest 30 min; Roll thin and cut circles; Deep fry on medium heat pressing to puff; Blend mint coriander green chili and cumin with tamarind and cold water; Strain and add black salt; Mash boiled potato with chickpeas and chaat masala; Poke puri fill with potato and pour pani; Eat immediately"
"96","Bhel Puri","puffed rice, sev, puri, potato, onion, tomato, tamarind chutney, green chutney, coriander, lemon, chaat masala, salt","10","230","easy","veg","quick,healthy","snacks","Mix puffed rice with boiled potato onion and tomato; Add tamarind chutney and green chutney; Toss with chaat masala and salt; Add broken puris and sev; Squeeze lemon juice; Toss quickly and serve immediately; Add more chutneys to taste; Best eaten within 2 minutes"
"97","Aloo Tikki Chaat","potato, bread, cornflour, green pea, cumin, coriander, ginger, green chili, yogurt, tamarind chutney, green chutney, sev, onion, chaat masala, oil","30","320","medium","veg","comfort","snacks","Mash potato with spices peas and cornflour; Shape into flat tikkis; Shallow fry until crispy on both sides; Place tikkis on plate; Top with whisked yogurt; Drizzle tamarind and green chutney; Sprinkle sev and chopped onion; Finish with chaat masala and coriander"
"98","Dahi Vada","urad dal, yogurt, ginger, green chili, cumin, tamarind chutney, green chutney, coriander, red chili, oil, salt, sugar","35","280","medium","veg","comfort","snacks","Soak and grind urad dal to fluffy batter; Add ginger and salt; Deep fry spoonfuls until golden; Soak fried vadas in warm water 10 min and squeeze; Whisk yogurt with sugar and salt; Arrange vadas in bowl and cover with yogurt; Drizzle tamarind and green chutney; Garnish with cumin powder red chili and coriander"
"99","Idli Sambar","idli rice, urad dal, toor dal, drumstick, tomato, onion, tamarind, sambar powder, mustard seeds, curry leaves, asafoetida, oil, salt","45","270","medium","veg","healthy,comfort","south-indian","Soak and grind idli rice and urad dal; Ferment batter overnight; Steam in idli moulds 12 min; Pressure cook toor dal with vegetables and tamarind; Add sambar powder and boil; Temper mustard seeds curry leaves and asafoetida; Add to sambar and simmer; Serve hot idli with sambar and coconut chutney"
"100","Masala Dosa","idli rice, urad dal, potato, onion, green chili, ginger, mustard seeds, curry leaves, turmeric, coriander, oil, salt","30","320","medium","veg","comfort","south-indian","Use fermented dosa batter; Boil and mash potato with tempered onion and spices for filling; Heat iron tawa until very hot; Pour batter and spread thinly in circles; Drizzle oil on edges; Place potato filling on one side; Fold and cook until crispy golden; Serve with sambar and coconut chutney"
"101","Uttapam","idli rice, urad dal, onion, tomato, green chili, coriander, carrot, oil, salt","20","240","easy","veg","quick,healthy","south-indian","Pour thick dosa batter on medium hot tawa; Do not spread too thin; Arrange chopped onion tomato chili coriander on top; Press gently into batter; Drizzle oil around edges; Cover and cook on low heat until set; Flip and cook other side until golden; Serve with chutney and sambar"
"102","Pesarattu","green moong dal, rice, ginger, green chili, onion, cumin, coriander, oil, salt","25","250","easy","veg","quick,healthy","south-indian","Soak green moong overnight; Grind with rice ginger and green chili to smooth batter; Add salt and water for consistency; Spread thin on hot tawa; Sprinkle finely chopped onion cumin and coriander; Cook on medium heat; Drizzle oil and fold when edges crisp; Serve with ginger chutney and upma"
"103","Medu Vada","urad dal, ginger, green chili, curry leaves, coriander, black pepper, oil, salt","25","230","medium","veg","quick,comfort","south-indian","Soak and grind urad dal to thick fluffy batter; Add ginger green chili curry leaves pepper and salt; Mix well and whip with hands for fluffiness; Wet hands and shape into ring with hole; Deep fry in hot oil until golden; Drain on paper; Serve hot with coconut chutney and sambar"
"104","Gulab Jamun","milk powder, all-purpose flour, khoya, baking soda, ghee, sugar, cardamom, rose water, saffron","40","380","medium","veg","comfort","north-indian","Make sugar syrup with cardamom rose water and saffron; Mix milk powder flour khoya and baking soda; Add ghee and enough milk to make soft dough; Shape into smooth balls without cracks; Deep fry on very low heat until dark golden brown; Soak in warm syrup for 30 min; Serve warm or at room temperature"
"105","Gajar Halwa","carrot, milk, sugar, khoya, ghee, cardamom, cashews, raisins, almonds","55","420","medium","veg","comfort","north-indian","Grate carrots and cook in milk on medium heat stirring often; Cook until all milk is absorbed; Add sugar and stir until dissolved; Add ghee and khoya; Cook until mixture leaves sides of pan; Add cardamom; Fry cashews and raisins in ghee and add; Serve hot or warm"
"106","Rice Kheer","basmati rice, full cream milk, sugar, cardamom, saffron, cashews, raisins, almonds, rose water","45","340","easy","veg","comfort","north-indian","Wash and soak rice 20 min; Boil milk and add drained rice; Simmer on low heat stirring frequently; Cook until rice is soft and milk thickens; Add sugar and cardamom; Add saffron soaked in warm milk; Add rose water and nuts; Serve warm or chilled"
"107","Rasgulla","full cream milk, lemon juice, sugar, cardamom, rose water","45","200","hard","veg","comfort","south-indian","Curdle milk with lemon juice and drain through muslin; Hang chenna 30 min to remove excess water; Knead chenna until smooth and non-sticky; Shape into smooth balls; Boil sugar syrup with cardamom; Drop balls gently and cover; Cook on medium heat 15 min until spongy; Cool and soak in syrup with rose water"
"108","Besan Ladoo","besan, ghee, powdered sugar, cardamom, cashews, raisins","30","300","easy","veg","comfort","north-indian","Roast besan in ghee on low heat stirring continuously for 20 min until fragrant and golden; Cool slightly; Add powdered sugar and cardamom and mix well; Add lightly fried cashews and raisins; When mixture is warm enough to handle shape into round ladoos; Allow to set at room temperature; Store in airtight container"
"109","Kadai Chicken","chicken, capsicum, onion, tomato, garlic, ginger, coriander seeds, dried red chili, kasuri methi, oil, garam masala, salt","40","380","medium","non-veg","comfort","north-indian","Coarsely grind coriander seeds and dried red chili for kadai masala; Saute onion garlic ginger in oil; Add tomato and cook until thick; Add chicken and kadai masala; Cook on high heat; Add capsicum pieces and toss; Simmer covered 15 min until chicken is done; Finish with kasuri methi and garam masala"
"110","Malai Kofta","paneer, potato, cashews, cream, onion, tomato, cardamom, cloves, kasuri methi, ghee, salt, sugar","50","460","hard","veg","comfort","north-indian","Grate paneer mix with mashed potato cashews and spices; Shape into balls and deep fry; Boil onion tomato and cashews and blend smooth; Heat ghee and cook paste until oil separates; Add cream and water; Add cardamom and kasuri methi; Simmer 10 min; Place koftas in gravy just before serving"
"111","Sarson ka Saag","mustard leaves, spinach, bathua, makki flour, garlic, ginger, green chili, ghee, onion, tomato, salt","60","280","medium","veg","healthy,comfort","north-indian","Wash and chop mustard spinach and bathua leaves; Pressure cook all leaves with green chili; Cool and blend roughly; Cook ground greens with makki flour on low heat stirring often for 30 min; Temper chopped garlic ginger onion in ghee until golden; Add tomato and cook; Mix into saag; Serve with makki roti and white butter"
"112","Chole Bhature","kabuli chana, all-purpose flour, yogurt, onion, tomato, garlic, ginger, chole masala, pomegranate powder, bay leaf, oil, baking soda, salt","50","580","medium","veg","comfort","north-indian","Soak chickpeas overnight and pressure cook with tea bag and spices; Knead dough with flour yogurt baking soda and oil; Rest dough 2 hours; Prepare chole gravy with onion tomato masala and pomegranate powder; Roll bhature thick and deep fry until puffed golden; Serve piping hot chole and bhature with onion and pickle"
"113","Baingan Bharta","eggplant, onion, tomato, garlic, ginger, green chili, cumin, coriander, turmeric, garam masala, oil, coriander leaves, salt","35","200","easy","veg","healthy,comfort","north-indian","Roast eggplant directly on flame until charred and soft; Peel and mash well; Heat oil and add cumin; Saute garlic ginger and green chili; Add onion and cook until golden; Add tomato and cook until mushy; Add mashed eggplant and spices; Cook on high heat stirring; Finish with garam masala and coriander"
"114","Tomato Rasam","tomato, toor dal, tamarind, cumin, pepper, mustard seeds, dried red chili, curry leaves, asafoetida, garlic, coriander, oil, salt","20","100","easy","veg","quick,healthy","south-indian","Cook toor dal and extract liquid; Boil tomato tamarind and rasam powder; Add dal water and simmer; Temper mustard seeds dried red chili curry leaves asafoetida and garlic in oil; Pour into rasam and boil briefly; Finish with coriander; Serve as soup or pour over rice with ghee"
"115","Sambar","toor dal, drumstick, carrot, shallots, tomato, tamarind, sambar powder, mustard seeds, curry leaves, asafoetida, oil, salt","35","180","easy","veg","healthy,comfort","south-indian","Pressure cook toor dal with turmeric; Cook vegetables separately with tamarind water; Add cooked dal to vegetables; Add sambar powder and boil; Temper mustard seeds curry leaves shallots and asafoetida; Add to sambar and simmer 10 min; Adjust consistency; Serve with idli dosa or rice"
"116","Masoor Dal Tadka","masoor dal, onion, tomato, garlic, ginger, cumin, turmeric, red chili, garam masala, ghee, coriander, salt","25","260","easy","veg","quick,healthy","north-indian","Pressure cook masoor dal with turmeric until soft; Heat ghee and temper cumin until it splutters; Saute garlic ginger and onion until golden; Add tomato and cook until oil separates; Add red chili and garam masala; Add cooked dal and water; Simmer 10 min; Finish with coriander; Serve with rice or roti"
"117","Chana Dal Tadka","chana dal, onion, tomato, garlic, ginger, green chili, cumin, turmeric, coriander, kasuri methi, ghee, salt","35","290","easy","veg","healthy,comfort","north-indian","Soak and pressure cook chana dal with turmeric; Heat ghee and temper cumin; Saute garlic ginger and green chili; Add onion until golden; Add tomato and cook through; Add cooked dal and spices; Simmer until desired consistency; Add kasuri methi and coriander; Serve with rice or chapati"
"118","Rajma Chawal","kidney beans, basmati rice, onion, tomato, garlic, ginger, cumin, coriander, garam masala, turmeric, red chili, oil, salt","50","440","medium","veg","comfort","north-indian","Soak kidney beans overnight and pressure cook until soft; Saute onion garlic ginger until golden; Add tomato and spices and cook until oil separates; Add cooked beans and mix well; Simmer 15 min adding water as needed; Cook basmati rice separately; Serve rajma over rice with onion salad"
"119","Palak Paneer","spinach, paneer, onion, tomato, garlic, ginger, cream, cumin, garam masala, kasuri methi, oil, salt","30","340","medium","veg","healthy,comfort","north-indian","Blanch spinach in boiling water and blend smooth; Saute onion garlic ginger in oil; Add tomato and cook until oil separates; Add blended spinach and mix; Add cubed paneer and cream; Simmer 10 min; Add kasuri methi and garam masala; Serve with roti or naan"
"120","Matar Paneer","paneer, green peas, onion, tomato, garlic, ginger, cumin, coriander, garam masala, kasuri methi, oil, salt","30","360","easy","veg","comfort","north-indian","Saute onion garlic ginger until golden; Add tomato and spices and cook until thick; Add blanched peas and fried paneer cubes; Add water and simmer 10 min; Finish with kasuri methi and garam masala; Serve with roti or rice"
"121","Chicken Tikka Masala","chicken, yogurt, cream, onion, tomato, garlic, ginger, tikka masala, kasuri methi, butter, oil, salt","45","430","medium","non-veg","comfort","north-indian","Marinate chicken with yogurt and tikka masala 2 hours; Grill or cook in oven until charred; Saute onion garlic ginger in butter; Add tomato and cook until thick; Add grilled chicken and cream; Simmer 10 min; Finish with kasuri methi; Serve with naan or rice"
"122","Rava Upma","semolina, onion, green chili, ginger, carrot, peas, mustard seeds, curry leaves, cashews, ghee, salt","20","270","easy","veg","quick,healthy","south-indian","Dry roast semolina until fragrant and light golden; Heat ghee and fry cashews; Temper mustard seeds curry leaves and green chili; Saute onion ginger and vegetables; Add boiling water and salt; Add roasted semolina stirring constantly; Cook covered on low heat 5 min; Fluff and serve hot"
"123","Vegetable Biryani","basmati rice, mixed vegetables, yogurt, onion, mint, saffron, ghee, whole spices, biryani masala, rose water, salt","60","430","hard","veg","comfort","north-indian","Parboil rice with whole spices until 60 percent done; Marinate vegetables in yogurt and biryani masala; Cook vegetables until half done; Layer vegetables in heavy pot; Add fried onion and mint; Layer rice on top; Drizzle saffron milk ghee and rose water; Seal and cook on dum 25 min; Rest before serving"
"124","Lassi","yogurt, sugar, cardamom, rose water, milk, ice, saffron, pistachio","5","180","easy","veg","quick,healthy","north-indian","Whisk thick yogurt smooth; Add sugar cardamom and rose water; Add cold milk and ice; Blend until frothy; Pour in tall glasses; Garnish with saffron strands and crushed pistachio; Serve immediately"
"125","Egg Fried Rice","cooked rice, egg, carrot, beans, capsicum, onion, garlic, soy sauce, vinegar, pepper, sesame oil, oil, salt","20","380","easy","non-veg","quick,comfort","chinese","Use day-old cold rice for best results; Scramble eggs in hot wok and remove; Stir fry garlic vegetables on high heat; Add rice and toss on high flame; Add soy sauce vinegar and pepper; Add scrambled eggs back; Drizzle sesame oil and toss; Serve immediately"
"126","Chicken Manchurian","chicken, cornflour, all-purpose flour, egg, garlic, ginger, green chili, soy sauce, vinegar, tomato ketchup, capsicum, spring onion, oil, salt, pepper","35","400","medium","non-veg","comfort","chinese","Mix chicken with cornflour flour egg and spices; Deep fry until golden and crispy; Make sauce by stir frying garlic ginger chili in very hot oil; Add soy sauce ketchup vinegar and water; Thicken with cornflour slurry; Toss fried chicken in sauce; Add capsicum and spring onion; Serve immediately"
"127","Veg Hakka Noodles","hakka noodles, carrot, cabbage, capsicum, onion, spring onion, garlic, soy sauce, vinegar, pepper, sesame oil, oil, salt","20","360","easy","veg","quick,comfort","chinese","Boil noodles until just done drain and toss with oil; Heat wok until smoking; Stir fry garlic on high heat; Add vegetables and toss on high flame; Add noodles and toss vigorously; Add soy sauce vinegar and pepper; Drizzle sesame oil; Garnish with spring onion; Serve hot"
"128","Paneer Chilli","paneer, capsicum, onion, garlic, ginger, green chili, soy sauce, tomato ketchup, vinegar, cornflour, spring onion, sesame oil, oil, salt, pepper","25","380","medium","veg","comfort,quick","chinese","Cut paneer into cubes coat with cornflour and fry until golden; Make sauce with soy sauce ketchup vinegar and cornflour slurry; Stir fry garlic ginger and green chili in hot oil; Add onion and capsicum and toss; Add sauce and bring to boil; Add fried paneer and toss; Drizzle sesame oil; Garnish with spring onion"
"129","Gond ke Ladoo","edible gum, whole wheat flour, ghee, jaggery, dried ginger, cardamom, nutmeg, almonds, cashews, poppy seeds","40","340","medium","veg","comfort","north-indian","Fry edible gum in ghee until it puffs up; Remove and crush roughly; Roast wheat flour in same ghee until golden and fragrant; Melt jaggery with a little water; Mix flour gond nuts and spices; Add jaggery syrup and bind into ladoos while warm; Store in airtight jar; Best eaten in winter for warmth"
"130","Til ke Ladoo","sesame seeds, jaggery, peanuts, desiccated coconut, cardamom, ghee","20","280","easy","veg","quick,comfort","north-indian","Dry roast sesame seeds until golden and fragrant; Roast peanuts and remove skins roughly; Melt jaggery in a pan until one-thread consistency; Add sesame coconut and peanuts quickly; Add cardamom and mix fast; Shape into round balls while mixture is still warm; Work quickly before it hardens"
"131","Methi Matar Malai","fenugreek leaves, green peas, cream, onion, cashews, ginger, garlic, cardamom, mace, white pepper, ghee, salt","30","380","medium","veg","comfort","north-indian","Blanch methi leaves in salted water and squeeze dry; Boil onion cashews and ginger and blend to white gravy; Heat ghee and cook white gravy with cardamom and mace; Add methi and peas and stir; Add cream and white pepper; Simmer gently without boiling; Serve with naan or paratha"
"132","Mooli Paratha","whole wheat flour, white radish, green chili, ginger, ajwain, coriander, ghee, salt","25","270","easy","veg","quick,comfort","north-indian","Grate radish squeeze out all water; Mix with green chili ginger ajwain coriander and salt; Make soft dough with flour; Stuff radish filling and roll into paratha; Cook on tawa on medium heat with ghee; Cook both sides until golden and crispy; Serve with white butter and curd"
"133","Shalgam Gosht","mutton, turnip, onion, yogurt, garlic, ginger, turmeric, red chili, coriander, cumin, garam masala, ghee, salt","60","420","hard","non-veg","comfort","north-indian","Brown onion in ghee until deep golden; Add garlic ginger and spices; Add mutton and sear on high heat; Add yogurt and cook until oil separates; Add turnip cubes and mix; Add water and pressure cook 20 min; Simmer uncovered to thicken; Finish with garam masala; Serve with naan"
"134","Gajar Matar Sabzi","carrot, green peas, onion, tomato, ginger, cumin, turmeric, coriander, garam masala, oil, salt, coriander leaves","20","180","easy","veg","quick,healthy","north-indian","Heat oil and temper cumin; Add onion and ginger and saute; Add tomato and spices and cook until thick; Add diced carrot and peas; Mix well and add splash of water; Cover and cook on low heat 10 min until carrots are tender; Finish with garam masala and coriander; Serve with roti"
"135","Panjiri","whole wheat flour, ghee, sugar, almonds, cashews, raisins, dried coconut, makhana, dried ginger, cardamom, edible gum","30","380","easy","veg","comfort","north-indian","Roast flour in ghee on low heat stirring continuously until fragrant golden; Cool completely; Fry edible gum in ghee until puffed; Fry makhana until crispy; Mix all ingredients with sugar while still warm; Adjust sweetness; Store in airtight container; Traditionally given to new mothers in winter"
"136","Aam Panna","raw mango, sugar, black salt, roasted cumin, mint, black pepper, water, ice","20","90","easy","veg","quick,healthy","north-indian","Pressure cook or boil raw mango until soft; Cool and scoop out pulp; Blend pulp with sugar black salt roasted cumin and black pepper; Strain concentrate; Refrigerate concentrate; To serve dilute with cold water and ice; Add fresh mint; Adjust salt and sweetness; Prevents heatstroke"
"137","Thandai","milk, almonds, cashews, poppy seeds, fennel seeds, melon seeds, black pepper, rose petals, cardamom, saffron, sugar","20","240","easy","veg","quick,healthy","north-indian","Soak almonds cashews poppy seeds melon seeds and fennel overnight; Grind soaked ingredients with rose petals and black pepper to fine paste; Boil milk with saffron and cardamom; Cool completely; Blend milk with ground paste and strain; Add sugar and stir until dissolved; Chill and serve over ice; Traditional Holi drink"
"138","Sattu Sharbat","roasted gram flour, water, lemon, black salt, roasted cumin, mint, ginger, sugar or jaggery, ice","5","120","easy","veg","quick,healthy","north-indian","Add sattu to a glass; Mix with cold water first to avoid lumps; Add lemon juice black salt roasted cumin and grated ginger; Add jaggery or sugar to taste; Stir vigorously until sattu is completely dissolved; Add ice and fresh mint; Serve immediately; Bihar summer staple that cools the body"
"139","Sol Kadhi","kokum, coconut milk, garlic, green chili, coriander, cumin, salt, water","15","80","easy","veg","quick,healthy","south-indian","Soak kokum in warm water 10 min and extract juice; Grind garlic green chili cumin and coriander; Add ground paste to kokum water; Stir in fresh coconut milk; Add salt and mix; Strain through sieve for smooth texture; Chill thoroughly; Serve as digestive drink or side with Goan fish dishes; Naturally cooling"
"140","Raw Mango Dal","toor dal, raw mango, tomato, green chili, turmeric, mustard seeds, cumin, curry leaves, asafoetida, dried red chili, oil, salt, jaggery","25","220","easy","veg","quick,healthy","south-indian","Pressure cook toor dal with turmeric and diced raw mango; Mash well; Add jaggery and salt for sweet sour balance; Temper mustard seeds cumin dried red chili curry leaves and asafoetida in oil; Add chopped tomato and green chili; Cook 3 min; Pour into dal and simmer; Serve with rice and papad"
"141","Pudina Chaas","yogurt, mint, green chili, ginger, roasted cumin, black salt, water, ice","5","60","easy","veg","quick,healthy","north-indian","Blend mint leaves green chili ginger and a little water into paste; Whisk yogurt smooth; Add water to thin it; Add mint paste through a strainer; Season with black salt and roasted cumin; Adjust consistency with cold water; Add ice and serve immediately; Perfect summer coolant after a meal"
"142","Mixed Vegetable Pakora","onion, potato, spinach, green chili, besan, rice flour, ajwain, turmeric, red chili, coriander, oil, salt","20","280","easy","veg","quick,comfort","snacks","Slice onion thinly and potato in thin rounds; Make thick batter with besan rice flour turmeric ajwain chili and salt; Add sliced vegetables and mix to coat; Ensure batter is thick enough to cling; Heat oil on medium; Drop spoonfuls and fry until golden crispy; Serve with mint chutney and chai; Best on rainy evenings"
"143","Bhutta Masala","corn on cob, butter, lemon, red chili powder, chaat masala, black salt, cumin","15","200","easy","veg","quick,healthy","snacks","Roast corn directly over open flame turning often until charred and cooked; Alternatively grill on high heat; Rub butter generously over hot corn; Mix red chili chaat masala cumin and black salt; Rub spice mix over buttered corn; Squeeze lemon and rub the squeezed lemon over corn; Serve immediately; Classic monsoon street food"
"144","Kanda Bhaji","onion, besan, green chili, ginger, turmeric, red chili, ajwain, coriander, oil, salt","15","240","easy","veg","quick,comfort","snacks","Slice onion very thinly and separate rings; Add besan green chili ginger ajwain and spices; Mix without adding water; Onion releases enough moisture to bind batter; Rest 10 min; Deep fry small portions in hot oil until crispy golden; Drain well on paper; Serve with green chutney; Maharashtrian monsoon staple"
"145","Mirchi Bajji","large green chili, besan, rice flour, turmeric, ajwain, cumin, oil, salt, potato stuffing, tamarind, coriander","20","260","medium","veg","quick,comfort","snacks","Make thick batter with besan rice flour and spices; Slit large chilies and remove seeds to reduce heat; Stuff with mashed spiced potato and tamarind; Dip in batter and deep fry until golden; Drain on paper; Serve immediately with coconut chutney; Popular Andhra street snack perfect for monsoon"
"146","Masala Corn","sweet corn, butter, onion, tomato, green chili, lemon, chaat masala, coriander, black salt","10","180","easy","veg","quick,healthy","snacks","Boil or microwave sweet corn kernels; Heat butter in pan; Add finely chopped onion and chili; Saute 2 min; Add tomato and toss; Add corn and mix; Season with chaat masala black salt and lemon; Toss on high heat; Garnish with coriander; Serve in paper cups like street style"
"147","Modak","rice flour, coconut, jaggery, cardamom, ghee, salt, water, poppy seeds","45","220","hard","veg","comfort","south-indian","Cook rice flour with boiling salted water to make soft dough; Add ghee and knead smooth; Make filling by cooking coconut jaggery cardamom and poppy seeds together; Cool filling; Shape dough into small cups; Fill with coconut mixture and pinch to form modak shape with pleats; Steam 15 min; Serve with ghee; Offered to Ganesha"
"148","Gujiya","all-purpose flour, khoya, sugar, almonds, raisins, cardamom, desiccated coconut, ghee, oil","60","380","hard","veg","comfort","north-indian","Make stiff dough with flour ghee and water; Mix khoya with sugar cardamom coconut almonds and raisins for filling; Roll small circles; Place filling on one half; Fold and crimp edges into half moon shape; Deep fry on medium heat until golden; Cool completely; Store in airtight box; Traditional Holi sweet"
"149","Chakli","rice flour, urad dal flour, besan, cumin, sesame seeds, ajwain, asafoetida, butter, turmeric, red chili, salt","40","300","medium","veg","comfort","snacks","Mix all flours with spices butter and enough water to make firm dough; Load into chakli press with star attachment; Press directly into hot oil in circular motion; Fry on medium heat until crispy and golden; Drain on paper; Cool completely before storing; Should be crispy for at least a week in airtight container; Diwali essential"
"150","Mathri","all-purpose flour, semolina, ajwain, cumin, black pepper, kasuri methi, ghee, oil, salt","30","320","easy","veg","comfort","snacks","Mix flour semolina spices and ghee until crumbly; Add water gradually to make stiff dough; Roll thick and cut into discs or squares; Prick with fork to prevent puffing; Deep fry on low medium heat until golden and cooked through; Takes 8-10 min per batch; Drain and cool completely; Serve with pickle and chai"
"151","Karanji","all-purpose flour, desiccated coconut, jaggery, sesame seeds, poppy seeds, cardamom, nutmeg, ghee, oil","50","350","medium","veg","comfort","south-indian","Knead stiff dough with flour ghee and water; Prepare filling with roasted coconut jaggery sesame and poppy seeds; Add cardamom and nutmeg; Roll thin circles; Place filling and fold into half moon; Press edges with fork or make rope pattern; Deep fry on medium heat until golden; Traditional Diwali and Goa celebration sweet"
"152","Dalma","toor dal, raw papaya, potato, raw banana, beans, tomato, turmeric, cumin, dried red chili, ginger, ghee, panch phoran, salt","35","250","easy","veg","healthy,comfort","south-indian","Pressure cook toor dal with turmeric; Boil all vegetables separately in salted water until just done; Add cooked vegetables to dal and simmer; Heat ghee and crackle panch phoran with dried red chili and ginger; Pour tempering into dal; Simmer 5 min; Serve with pakhala or rice; Odisha daily staple and temple prasad"
"153","Pakhala Bhata","cooked rice, water, yogurt, cucumber, onion, green chili, coriander, roasted cumin, mustard seeds, curry leaves, salt","10","180","easy","veg","quick,healthy","south-indian","Soak cooked rice in water overnight to ferment slightly; In morning mix with yogurt and salt; Temper mustard seeds and curry leaves and add; Serve with raw cucumber onion green chili and coriander alongside; Garnish with roasted cumin; Eat cold; Traditional summer cooling meal of Odisha; Pairs with dalma and fried vegetables"
"154","Chenna Poda","fresh paneer, sugar, semolina, cardamom, cashews, raisins, ghee","70","360","medium","veg","comfort","south-indian","Knead fresh paneer until smooth; Mix in sugar semolina and cardamom; Caramelize sugar in baking dish with ghee; Pour paneer mixture over caramel; Top with cashews and raisins; Bake in oven at 200C for 45 min until dark golden; Cool completely and flip onto plate; Caramel coats the top; Odisha unique baked cheese dessert"
"155","Macha Besara","rohu fish, mustard seeds, garlic, green chili, tomato, turmeric, panch phoran, mustard oil, salt, coriander","25","290","medium","non-veg","comfort","south-indian","Grind mustard seeds garlic and green chili with water to paste; Marinate fish with turmeric and salt; Fry fish in mustard oil and remove; Crackle panch phoran in same oil; Add mustard paste and cook 3 min; Add tomato and cook until soft; Add fried fish and water; Simmer 8 min; Serve with rice"
"156","Masor Tenga","rohu fish, tomato, lemon, turmeric, mustard oil, fenugreek seeds, green chili, coriander, salt","25","250","easy","non-veg","quick,healthy","south-indian","Marinate fish in turmeric and salt; Fry fish in mustard oil until golden and remove; Crackle fenugreek seeds in same oil; Add chopped tomato and green chili; Cook until tomato softens; Add fried fish and water; Simmer 10 min; Add lemon juice generously; Garnish with coriander; Light sour fish curry of Assam; Eaten with rice"
"157","Aloo Pitika","potato, mustard oil, onion, green chili, coriander, salt, mustard seeds","15","180","easy","veg","quick,healthy","south-indian","Boil potatoes until soft and peel; Mash roughly; Add raw mustard oil generously; Mix in finely chopped onion and green chili; Add salt and coriander; Crush mustard seeds and add; Mix well with hands; Adjust oil and salt; Serve immediately as a side; Assamese comfort food eaten with rice and masor tenga"
"158","Duck Curry Assamese","duck, potato, onion, garlic, ginger, turmeric, cumin, coriander, mustard oil, black pepper, bay leaf, salt","70","460","hard","non-veg","comfort","south-indian","Clean duck and cut into pieces; Marinate with turmeric and salt; Heat mustard oil and brown onion; Add garlic ginger and whole spices; Add duck and sear well on high heat; Duck releases its own fat; Add potato and spices; Add water and pressure cook 30 min; Simmer uncovered until gravy thickens; Festive Assamese dish"
"159","Gongura Mutton","mutton, gongura leaves, onion, tomato, garlic, ginger, green chili, cumin, coriander, turmeric, oil, salt","65","450","hard","non-veg","comfort","south-indian","Pressure cook gongura leaves with green chili and garlic; Grind to paste; Brown onion garlic ginger in oil; Add mutton and sear well; Add spices and tomato; Cook until oil separates; Add gongura paste and mix; Add water and pressure cook 20 min; Simmer to reduce gravy; The sorrel leaves give distinctive sour flavor"
"160","Andhra Chicken Curry","chicken, onion, tomato, green chili, ginger, garlic, coconut, poppy seeds, sesame seeds, curry leaves, turmeric, red chili, coriander, oil, salt","45","420","medium","non-veg","comfort","south-indian","Dry roast coconut poppy seeds and sesame seeds; Grind to paste; Saute onion garlic ginger in oil until golden; Add tomato curry leaves and spices; Cook until oil separates; Add chicken and sear; Add coconut paste and mix; Add water simmer covered 25 min; Finish on high heat to thicken; Fiery Andhra style"
